Temp_FH,Vol_HW,Soc_B,SoC_HW_plus,SoC_HW_minus,SoC_FH_plus,SoC_FH_minus,profits,COP_FH,COP_HW,Peer,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,PV_PM,B_PM,PM_DE,PM_B,PM_HP,month,day,hour,horizon
22.0,180.0,13.5,0.0,0.0,0.0,0.0,0.0,3.1222857142857143,2.0508571428571427,1.0,0.0,0.2566602878295744,0.0,0.0,0.0,0.0,0.0,1.2378897297691247,1.2255108442769476,-7.804325745140551e-14,0.0,0.0,0.0,0.0,0.0,1,1,0,24.0
22.0,179.32877024670242,12.004099982435406,0.0,0.0,0.0,0.0,0.0,3.111642857142857,2.0402142857142858,1.0,0.0,0.2354279645353531,0.0,0.0,0.0,0.0,0.0,1.2720802937102191,1.25935950290462,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,24.0
22.0,178.6575404934079,10.495391314221916,0.0,0.0,0.0,0.0,0.0,3.0990714285714285,2.027642857142857,1.0,0.0,0.21960552961416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,24.0
21.07815504973178,177.9863107401134,10.274736245502847,0.0,0.0,0.0,0.0,0.0,3.0868571428571427,2.015428571428571,1.0,0.0,0.2134035093940592,0.0,0.0,0.0,0.0,0.0,2.0203184930544675,2.0001153273911814,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,24.0
21.627774742197886,177.31508098681888,8.039986769455727,0.0,0.0,0.0,0.0,0.0,3.075214285714286,2.0037857142857143,1.0,0.0,0.2237745886374782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,24.0
21.433068741929667,176.64385123352437,7.815408182161614,0.0,0.0,0.0,0.0,0.0,3.069928571428571,1.9985,1.0,0.0,0.25426369026809537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5,24.0
21.420147441661445,175.97262148022986,7.560362951095047,0.0,0.0,0.0,0.0,0.0,3.067428571428571,1.996,1.0,0.0,0.36605316427820267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6,24.0
20.680087191393223,175.30139172693532,7.193553750540834,0.0,0.0,0.0,0.0,0.0,3.071642857142857,2.0002142857142857,1.0,0.393835,0.0,0.0,0.0,0.0,0.13016500000000003,0.0,1.1393439483552452,1.2581155197373235,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7,24.0
20.51969917357426,174.6301619736405,6.0534904468287065,0.0,0.0,0.0,0.0,0.13924830553318318,3.126571428571429,2.055142857142857,1.0,0.405839,0.0,0.0,0.0,0.4641609999998429,3.000000000000157,0.0,0.0,3.000000000000157,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8,24.0
21.276974216163257,150.07909001687108,6.052885097799316,0.0,0.0,0.0,0.0,0.9023148358547686,3.219642857142857,2.148214285714286,1.0,0.41128400000000004,0.0,0.0,0.0,3.0077159999999994,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9,24.0
22.258430301609323,85.06500377825023,6.052279809304827,0.0,0.0,0.258430301609323,0.0,2.180923806616364,3.327357142857143,2.2559285714285715,1.0,0.399042,0.0,0.0,0.0,7.269745733180804,0.11021226681919552,0.0,0.0,0.0,0.1102122668191955,0.0,0.0,0.0,0.0,0.0,1,1,10,24.0
21.972831951341103,20.0,6.051674581339186,0.0,0.0,0.0,0.0,2.3656525182724413,3.434071428571429,2.3626428571428573,1.0,0.412678,0.0,0.0,0.0,7.885508080899532,0.014813919100467468,0.0,0.0,0.0,0.014813919100467468,0.0,0.0,0.0,0.0,0.0,1,1,11,24.0
21.687233601072883,20.0,6.0510694138963395,0.0,0.0,0.0,0.0,0.9154991071705814,3.5240714285714287,2.452642857142857,1.0,0.427354,0.0,0.0,2.8953487991515856,3.051663569306389,1.6436336315420237,0.0,0.0,0.0,1.6436336315420237,0.0,0.0,0.0,0.0,0.0,1,1,12,24.0
21.129472400804662,90.06131752834618,8.916859645742504,0.0,0.0,0.0,0.0,0.24231455886175912,3.5874285714285716,2.516,1.0,0.456899,0.0,0.0,3.299999952316284,0.8077151641101468,2.3173858835735697,0.0,0.0,2.31738588357357,0.0,0.0,0.0,0.0,0.0,0.0,1,1,13,24.0
22.0,85.61468892074495,12.182967944064828,0.0,0.0,0.0,0.0,0.0,3.619857142857143,2.5484285714285715,1.0,0.458434,0.0,0.0,1.331566,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,14,24.0
21.44172444973178,180.0,13.5,0.0,0.0,0.0,0.0,0.0,3.6158571428571427,2.544428571428571,1.0,0.491737,0.0,0.0,0.0,0.0,1.071263,0.0,0.32023451115533685,1.3882951690977778,0.0,0.0,0.0,0.0,0.0,0.0,1,1,15,24.0
22.0,131.17424932255636,13.178415488878766,0.0,0.0,0.0,0.0,-0.05399878816325821,3.5808571428571425,2.509428571428572,1.0,0.0,0.0,0.5399878735861358,0.0,0.0,0.0,0.0,1.2436140290387028,0.0,1.2311779006083434,0.0,0.0,0.0,0.0,0.0,1,1,16,24.0
