heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,Date/Time,PV_generation,Temperature
3.635695,0.041142,0.43581,0.093126,0.09865,0.0,0.231655,0.423431,3.676837,0.43581, 01/02  16:00:00,1.466,0.812
4.241644,0.041142,0.0,0.117422,0.173005,0.0,0.241727,0.532154,4.282786,0.0, 01/02  17:00:00,0.007,0.011
4.847593,0.041142,0.419429,0.155244,0.26315,0.025,0.26187,0.705264,4.888735,0.419429, 01/02  18:00:00,0.0,-0.02
2.423797,0.041142,0.0,0.183734,0.21527,0.005,0.266906,0.67091,2.4649389999999998,0.0, 01/02  19:00:00,0.0,0.147
2.423797,0.041142,0.519866,0.177507,0.128218,0.0,0.251798,0.557523,2.4649389999999998,0.519866, 01/02  20:00:00,0.0,0.206
1.211898,0.041142,0.0,0.142545,0.08994,0.0,0.236691,0.46917600000000004,1.25304,0.0, 01/02  21:00:00,0.0,0.278
0.0,0.041142,0.0,0.107641,0.07415,0.0,0.226619,0.40840999999999994,0.041142,0.0, 01/02  22:00:00,0.0,0.254
1.211898,0.041142,0.0,0.094099,0.059063,0.0,0.201439,0.354601,1.25304,0.0, 01/02  23:00:00,0.0,0.265
0.0,0.041142,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,0.041142,0.0, 01/02  24:00:00,0.0,0.19
2.423797,0.041142,0.0,0.022749,0.042381,0.0,0.176259,0.241389,2.4649389999999998,0.0, 01/03  01:00:00,0.0,0.052
2.423797,0.041142,0.0,0.013649,0.041584,0.0,0.166187,0.22142,2.4649389999999998,0.0, 01/03  02:00:00,0.0,-0.086
2.423797,0.041142,0.0,0.009099,0.036289,0.0,0.161151,0.20653899999999997,2.4649389999999998,0.0, 01/03  03:00:00,0.0,0.017
3.635695,0.041142,0.0,0.009099,0.035492,0.0,0.156115,0.200706,3.676837,0.0, 01/03  04:00:00,0.0,-0.026
3.635695,0.041142,0.0,0.010117,0.039192,0.0,0.161151,0.21045999999999998,3.676837,0.0, 01/03  05:00:00,0.0,-0.053
3.635695,0.041142,0.439544,0.027759,0.045189,0.0,0.166187,0.239135,3.676837,0.439544, 01/03  06:00:00,0.0,0.027
6.059491,0.041142,0.508076,0.065169,0.067773,0.025,0.186331,0.344273,6.100633,0.508076, 01/03  07:00:00,0.0,0.227
3.635695,0.041142,0.0,0.08247,0.094854,0.005,0.211511,0.393835,3.676837,0.0, 01/03  08:00:00,0.0,0.42
3.635695,0.041142,2.67571,0.087643,0.151235,0.0,0.216547,0.45542499999999997,3.676837,2.67571, 01/03  09:00:00,0.126,0.752
2.423797,0.041142,0.445253,0.09009,0.279385,0.0,0.216547,0.586022,2.4649389999999998,0.445253, 01/03  10:00:00,0.234,0.919
2.423797,0.041142,2.424618,0.087641,0.144482,0.0,0.216547,0.44867,2.4649389999999998,2.424618, 01/03  11:00:00,0.377,1.037
3.635695,0.041142,0.0,0.084247,0.106848,0.0,0.221583,0.412678,3.676837,0.0, 01/03  12:00:00,0.408,1.107
3.635695,0.041142,1.054699,0.081798,0.118937,0.0,0.226619,0.427354,3.676837,1.054699, 01/03  13:00:00,0.439,1.114
2.423797,0.041142,0.0,0.081077,0.102446,0.0,0.226619,0.410142,2.4649389999999998,0.0, 01/03  14:00:00,0.522,1.119
3.635695,0.041142,0.0,0.082929,0.118937,0.0,0.221583,0.42344899999999996,3.676837,0.0, 01/03  15:00:00,0.197,0.988
0.0,0.041142,0.392388,0.093126,0.09865,0.0,0.231655,0.423431,0.041142,0.392388, 01/03  16:00:00,0.201,1.16
4.847593,0.041142,0.0,0.117422,0.173005,0.0,0.241727,0.532154,4.888735,0.0, 01/03  17:00:00,0.0,0.888
6.059491,0.041142,0.404774,0.155244,0.26315,0.025,0.26187,0.705264,6.100633,0.404774, 01/03  18:00:00,0.0,0.777
2.423797,0.041142,2.565915,0.183734,0.224588,0.005,0.266906,0.680228,2.4649389999999998,2.565915, 01/03  19:00:00,0.0,0.755
2.423797,0.041142,2.481077,0.177507,0.128218,0.0,0.251798,0.557523,2.4649389999999998,2.481077, 01/03  20:00:00,0.0,0.572
3.635695,0.041142,0.0,0.142545,0.182831,0.0,0.236691,0.562067,3.676837,0.0, 01/03  21:00:00,0.0,0.585
2.423797,0.041142,0.0,0.107641,0.07415,0.0,0.226619,0.40840999999999994,2.4649389999999998,0.0, 01/03  22:00:00,0.0,0.69
2.423797,0.041142,0.392388,0.094099,0.059063,0.0,0.201439,0.354601,2.4649389999999998,0.392388, 01/03  23:00:00,0.0,0.687
2.423797,0.041142,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,2.4649389999999998,0.0, 01/03  24:00:00,0.0,0.763
3.635695,0.041142,0.445776,0.022749,0.042381,0.0,0.176259,0.241389,3.676837,0.445776, 01/04  01:00:00,0.0,0.708
4.847593,0.041142,0.0,0.013649,0.041584,0.0,0.166187,0.22142,4.888735,0.0, 01/04  02:00:00,0.0,0.545
3.635695,0.041142,0.0,0.009099,0.036289,0.0,0.161151,0.20653899999999997,3.676837,0.0, 01/04  03:00:00,0.0,0.428
4.847593,0.041142,0.0,0.009099,0.035492,0.0,0.156115,0.200706,4.888735,0.0, 01/04  04:00:00,0.0,0.327
4.847593,0.041142,0.0,0.010117,0.039192,0.0,0.161151,0.21045999999999998,4.888735,0.0, 01/04  05:00:00,0.0,0.073
3.635695,0.041142,0.0,0.027759,0.045189,0.0,0.166187,0.239135,3.676837,0.0, 01/04  06:00:00,0.0,0.013
2.423797,0.041142,0.0,0.065169,0.067773,0.025,0.186331,0.344273,2.4649389999999998,0.0, 01/04  07:00:00,0.0,-0.146
3.635695,0.041142,0.0,0.08247,0.094854,0.005,0.211511,0.393835,3.676837,0.0, 01/04  08:00:00,0.088,-0.271
3.635695,0.041142,0.0,0.087643,0.101649,0.0,0.216547,0.405839,3.676837,0.0, 01/04  09:00:00,0.583,-0.057
1.211898,0.041142,3.375596,0.09009,0.119332,0.0,0.216547,0.425969,1.25304,3.375596, 01/04  10:00:00,0.829,-0.584
3.635695,0.041142,0.0,0.087641,0.152761,0.0,0.216547,0.456949,3.676837,0.0, 01/04  11:00:00,1.247,-1.753
0.0,0.041142,1.397803,0.084247,0.184806,0.0,0.221583,0.49063599999999996,0.041142,1.397803, 01/04  12:00:00,1.143,-2.829
