heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
4.241644,0.041142000000000005,0.991225,0.081798,0.11893699999999999,0.0,0.22661900000000001,0.427354,4.282786,0.991225,5.611000000000001,1.031,1,2,12
3.6356949999999997,0.041142000000000005,0.0,0.081077,0.10244600000000001,0.0,0.22661900000000001,0.410142,3.6768370000000004,0.0,5.1579999999999995,1.3130000000000002,1,2,13
4.847593,0.041142000000000005,0.0,0.082929,0.11893699999999999,0.0,0.221583,0.423449,4.888735,0.0,3.7969999999999997,1.3980000000000001,1,2,14
3.6356949999999997,0.041142000000000005,0.43581000000000003,0.093126,0.09865,0.0,0.23165500000000003,0.42343100000000006,3.6768370000000004,0.43581000000000003,1.466,0.812,1,2,15
4.241644,0.041142000000000005,0.0,0.117422,0.173005,0.0,0.241727,0.532154,4.282786,0.0,0.006999999999999999,0.011000000000000001,1,2,16
4.847593,0.041142000000000005,0.419429,0.155244,0.26315,0.025,0.26187,0.705264,4.888735,0.419429,0.0,-0.02,1,2,17
2.423797,0.041142000000000005,0.0,0.18373399999999998,0.21527,0.005,0.266906,0.67091,2.464939,0.0,0.0,0.147,1,2,18
2.423797,0.041142000000000005,0.5198659999999999,0.177507,0.128218,0.0,0.251798,0.557523,2.464939,0.5198659999999999,0.0,0.20600000000000002,1,2,19
1.211898,0.041142000000000005,0.0,0.142545,0.08993999999999999,0.0,0.23669099999999998,0.469176,1.25304,0.0,0.0,0.278,1,2,20
0.0,0.041142000000000005,0.0,0.10764100000000001,0.07415,0.0,0.22661900000000001,0.40841,0.041142000000000005,0.0,0.0,0.254,1,2,21
1.211898,0.041142000000000005,0.0,0.094099,0.059063,0.0,0.201439,0.354601,1.25304,0.0,0.0,0.265,1,2,22
0.0,0.041142000000000005,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,0.041142000000000005,0.0,0.0,0.19,1,2,23
2.423797,0.041142000000000005,0.0,0.022749000000000002,0.042381,0.0,0.176259,0.241389,2.464939,0.0,0.0,0.052000000000000005,1,3,0
2.423797,0.041142000000000005,0.0,0.013649000000000001,0.041583999999999996,0.0,0.166187,0.22141999999999998,2.464939,0.0,0.0,-0.086,1,3,1
2.423797,0.041142000000000005,0.0,0.009099,0.036289,0.0,0.161151,0.206539,2.464939,0.0,0.0,0.017,1,3,2
3.6356949999999997,0.041142000000000005,0.0,0.009099,0.035492,0.0,0.156115,0.200706,3.6768370000000004,0.0,0.0,-0.026000000000000002,1,3,3
3.6356949999999997,0.041142000000000005,0.0,0.010117000000000001,0.039192000000000005,0.0,0.161151,0.21046,3.6768370000000004,0.0,0.0,-0.053,1,3,4
3.6356949999999997,0.041142000000000005,0.43954399999999993,0.027759,0.045189,0.0,0.166187,0.239135,3.6768370000000004,0.43954399999999993,0.0,0.027000000000000003,1,3,5
6.059491,0.041142000000000005,0.508076,0.065169,0.067773,0.025,0.186331,0.344273,6.100633,0.508076,0.0,0.22699999999999998,1,3,6
3.6356949999999997,0.041142000000000005,0.0,0.08247,0.094854,0.005,0.211511,0.393835,3.6768370000000004,0.0,0.0,0.42,1,3,7
3.6356949999999997,0.041142000000000005,2.67571,0.087643,0.15123499999999998,0.0,0.216547,0.455425,3.6768370000000004,2.67571,0.126,0.752,1,3,8
2.423797,0.041142000000000005,0.44525299999999995,0.09009,0.279385,0.0,0.216547,0.586022,2.464939,0.44525299999999995,0.23399999999999999,0.919,1,3,9
2.423797,0.041142000000000005,2.424618,0.087641,0.144482,0.0,0.216547,0.44866999999999996,2.464939,2.424618,0.377,1.037,1,3,10
3.6356949999999997,0.041142000000000005,0.0,0.084247,0.106848,0.0,0.221583,0.412678,3.6768370000000004,0.0,0.408,1.107,1,3,11
3.6356949999999997,0.041142000000000005,1.054699,0.081798,0.11893699999999999,0.0,0.22661900000000001,0.427354,3.6768370000000004,1.054699,0.439,1.114,1,3,12
2.423797,0.041142000000000005,0.0,0.081077,0.10244600000000001,0.0,0.22661900000000001,0.410142,2.464939,0.0,0.522,1.119,1,3,13
3.6356949999999997,0.041142000000000005,0.0,0.082929,0.11893699999999999,0.0,0.221583,0.423449,3.6768370000000004,0.0,0.19699999999999998,0.988,1,3,14
0.0,0.041142000000000005,0.392388,0.093126,0.09865,0.0,0.23165500000000003,0.42343100000000006,0.041142000000000005,0.392388,0.201,1.16,1,3,15
4.847593,0.041142000000000005,0.0,0.117422,0.173005,0.0,0.241727,0.532154,4.888735,0.0,0.0,0.888,1,3,16
6.059491,0.041142000000000005,0.40477399999999997,0.155244,0.26315,0.025,0.26187,0.705264,6.100633,0.40477399999999997,0.0,0.777,1,3,17
2.423797,0.041142000000000005,2.565915,0.18373399999999998,0.224588,0.005,0.266906,0.6802279999999999,2.464939,2.565915,0.0,0.755,1,3,18
2.423797,0.041142000000000005,2.481077,0.177507,0.128218,0.0,0.251798,0.557523,2.464939,2.481077,0.0,0.5720000000000001,1,3,19
3.6356949999999997,0.041142000000000005,0.0,0.142545,0.182831,0.0,0.23669099999999998,0.562067,3.6768370000000004,0.0,0.0,0.585,1,3,20
2.423797,0.041142000000000005,0.0,0.10764100000000001,0.07415,0.0,0.22661900000000001,0.40841,2.464939,0.0,0.0,0.69,1,3,21
2.423797,0.041142000000000005,0.392388,0.094099,0.059063,0.0,0.201439,0.354601,2.464939,0.392388,0.0,0.687,1,3,22
2.423797,0.041142000000000005,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,2.464939,0.0,0.0,0.763,1,3,23
3.6356949999999997,0.041142000000000005,0.445776,0.022749000000000002,0.042381,0.0,0.176259,0.241389,3.6768370000000004,0.445776,0.0,0.708,1,4,0
4.847593,0.041142000000000005,0.0,0.013649000000000001,0.041583999999999996,0.0,0.166187,0.22141999999999998,4.888735,0.0,0.0,0.545,1,4,1
3.6356949999999997,0.041142000000000005,0.0,0.009099,0.036289,0.0,0.161151,0.206539,3.6768370000000004,0.0,0.0,0.428,1,4,2
4.847593,0.041142000000000005,0.0,0.009099,0.035492,0.0,0.156115,0.200706,4.888735,0.0,0.0,0.327,1,4,3
4.847593,0.041142000000000005,0.0,0.010117000000000001,0.039192000000000005,0.0,0.161151,0.21046,4.888735,0.0,0.0,0.073,1,4,4
3.6356949999999997,0.041142000000000005,0.0,0.027759,0.045189,0.0,0.166187,0.239135,3.6768370000000004,0.0,0.0,0.013000000000000001,1,4,5
2.423797,0.041142000000000005,0.0,0.065169,0.067773,0.025,0.186331,0.344273,2.464939,0.0,0.0,-0.146,1,4,6
