Temp_FH,Vol_HW,Soc_B,SoC_HW_plus,SoC_HW_minus,SoC_FH_plus,SoC_FH_minus,profits,COP_FH,COP_HW,Peer,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,Date/Time,horizon
22.0,180.0,13.5,-0.0,0.0,-0.0,0.0,-2.7755575615628915e-18,3.1222857142857143,2.0508571428571427,1.0,0.0,0.2540936842105263,2.7755575615628914e-17,0.0,0.0,0.0,0.0,1.2900114144255246,1.2255108437042492,0.0, 01/01  01:00:00,24.0
22.0,179.3287702495632,11.954544901363949,0.0,0.0,0.0,0.0,0.0,3.111642857142857,2.0402142857142858,1.0,0.0,0.23307368421052632,0.0,0.0,0.0,0.0,0.0,1.325641581399961,1.2593595023299629,0.0, 01/01  02:00:00,24.0
22.0,178.6575404991264,10.394634181263328,0.0,0.0,0.0,0.0,-2.2204460492503132e-17,3.0990714285714285,2.027642857142857,1.0,0.0,0.2174094736842105,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.087427643254772,1.9830562610920335,0.0, 01/01  03:00:00,24.0
22.0,177.98631074868965,8.08875760090622,0.0,0.0,0.0,0.0,-1.7347234759768072e-19,3.0868571428571427,2.015428571428571,1.0,0.0,0.21126947368421053,0.0,0.0,0.0,0.0,1.734723475976807e-18,0.009697232953035926,0.009212371305384132,0.0, 01/01  04:00:00,24.0
21.627774741125002,177.31508099825285,7.866982018508878,0.0,0.0,0.0,0.0,0.0,3.075214285714286,2.0037857142857143,1.0,0.0,0.22153684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 01/01  05:00:00,24.0
21.433068741125002,176.6438512478161,7.644658478201764,0.0,0.0,0.0,0.0,0.0,3.069928571428571,1.9985,1.0,0.0,0.25172105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 01/01  06:00:00,24.0
22.0,180.0,0.0,-0.0,0.0,-0.0,0.0,-0.14668998437042577,3.1222857142857143,2.0508571428571427,2.0,0.0,0.0,0.241389,0.0,0.0,0.0,1.2255108437042574,0.0,1.2255108437042566,8.881784197001252e-16, 01/01  01:00:00,24.0
22.0,179.32877024956326,0.0,0.0,0.0,0.0,0.0,-0.14807795023299627,3.111642857142857,2.0402142857142858,2.0,0.0,0.0,0.22142,0.0,0.0,0.0,1.2593595023299629,0.0,1.2593595023299629,0.0, 01/01  02:00:00,24.0
22.0,178.65754049912647,0.0,0.0,0.0,0.0,0.0,-0.2189595261092026,3.0990714285714285,2.027642857142857,2.0,0.0,0.0,0.20653899999999997,0.0,0.0,0.0,1.983056261092026,0.0,1.983056261092026,0.0, 01/01  03:00:00,24.0
22.0,177.9863107486897,0.0,0.0,0.0,0.0,0.0,-0.03394418231519192,3.0868571428571427,2.015428571428571,2.0,0.0,0.0,0.200706,0.0,0.0,0.0,0.13873582315191918,0.0,0.13873582315191918,0.0, 01/01  04:00:00,24.0
21.6877478,177.3150809982529,0.0,0.0,0.0,0.0,0.0,-0.029779468791216526,3.075214285714286,2.0037857142857143,2.0,0.0,0.0,0.21045999999999998,0.0,0.0,0.0,0.08733468791216527,0.0,0.0,0.08733468791216527, 01/01  05:00:00,24.0
21.4930418,180.0,0.0,0.0,0.0,0.0,0.0,-0.0239135,3.069928571428571,1.9985,2.0,0.0,0.0,0.239135,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 01/01  06:00:00,24.0
21.420147441125003,175.9726214973793,7.392172959722365,0.0,0.0,0.0,0.0,0.0,3.067428571428571,1.996,1.0,0.0,0.36239263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 01/01  07:00:00,24.0
20.680087191125004,175.3013917469425,7.029041110847445,0.0,0.0,0.0,0.0,3.3112401709445293e-15,3.071642857142857,2.0002142857142857,1.0,0.393835,0.0,0.0,0.0,1.1046719095020308e-14,0.13016499999998898,2.7755575615628914e-17,0.0,0.130164999999989,0.0, 01/01  08:00:00,24.0
20.0,174.63016199650573,7.02833820673636,0.0,0.0,0.0,0.0,0.32468583084163377,3.126571428571429,2.055142857142857,1.0,0.405839,0.0,0.0,0.0,1.082286102805446,2.381874897194554,0.0,0.0,2.381874897194554,0.0, 01/01  09:00:00,24.0
20.4673832,150.07909004259423,7.027635372915687,0.0,0.0,0.0,0.0,1.2448145107231912,3.219642857142857,2.148214285714286,1.0,0.411284,0.0,0.0,0.0,4.149381702410637,1.8583342975893624,0.0,0.0,0.0,1.8583342975893624, 01/01  10:00:00,24.0
20.0,161.6254746210771,7.026932609378395,0.0,0.0,0.0,0.0,2.042320615980078,3.327357142857143,2.2559285714285715,1.0,0.399042,0.0,0.0,0.0,6.80773538660026,0.5722226133997397,0.0,0.0,0.5722226133997397,0.0, 01/01  11:00:00,24.0
20.0,91.79222726907845,7.026229916117457,0.0,0.0,0.0,0.0,2.20376438709154,3.434071428571429,2.3626428571428573,1.0,0.412678,0.0,0.0,0.0,7.345881290305135,0.554440709694866,0.0,0.0,0.5544407096948659,0.0, 01/01  12:00:00,24.0
21.4801205,179.3287702495632,0.0,0.0,0.0,0.0,0.0,-0.0344273,3.067428571428571,1.996,2.0,0.0,0.0,0.344273,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 01/01  07:00:00,24.0
20.74006025,178.6575404991264,0.0,0.0,0.0,0.0,0.0,-0.04306465559047263,3.071642857142857,2.0002142857142857,2.0,0.0,0.0,0.393835,0.0,0.0,0.0,0.036811555904726304,0.0,0.0,0.036811555904726304, 01/01  08:00:00,24.0
