Temp_FH,Vol_HW,Soc_B,SoC_HW_plus,SoC_HW_minus,SoC_FH_plus,SoC_FH_minus,profits,COP_FH,COP_HW,Peer,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,PV_PM,B_PM,PM_DE,PM_B,PM_HP,Date/Time,horizon
22.0,180.0,13.5,0.0,0.0,0.0,0.0,0.0,3.1222857142857143,2.0508571428571427,1.0,0.0,0.2566602878295744,0.0,0.0,0.0,0.0,0.0,1.2378897297691414,1.2255108442769476,-6.142293410527285e-14,0.0,1.6447305816572426,0.0,0.0,0.0, 01/01  01:00:00,24.0
22.0,179.32877024670307,10.359369400778146,0.0,0.0,0.0,0.0,0.0,3.111642857142857,2.0402142857142858,1.0,0.0,0.23542796453535317,0.0,0.0,0.0,0.0,0.0,1.2720802937102191,1.25935950290462,0.0,0.0,1.6615507421333169,0.0,0.0,0.0, 01/01  02:00:00,24.0
22.0,178.65754049340856,7.189274463485349,0.0,0.0,0.0,0.0,0.0,3.0990714285714285,2.027642857142857,1.0,0.0,0.21960552961415997,0.0,0.0,0.0,0.0,0.0,2.003087113703126,1.983056261669022,0.0,0.0,1.0773073089989984,0.0,0.0,0.0, 01/01  03:00:00,24.0
22.0,177.98631074011405,3.888555583740878,0.0,0.0,0.0,0.0,0.0,3.0868571428571427,2.015428571428571,1.0,0.0,0.2134035093940592,0.0,0.0,0.0,0.0,0.0,0.14013719667863325,0.13873582604829937,0.0,0.0,1.5514698728829575,0.0,0.0,0.0, 01/01  04:00:00,24.0
21.687747801072884,177.31508098681954,1.9831561492366778,0.0,0.0,0.0,0.0,0.0,3.075214285714286,2.0037857142857143,1.0,0.0,0.22377458863747818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22603493584024348,0.0,0.0,0.0, 01/01  05:00:00,24.0
21.493041800804665,176.64385123352503,1.5331483091490423,0.0,0.0,0.0,0.0,0.0,3.069928571428571,1.9985,1.0,0.0,0.25426369026809537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2568320078977318,0.0,0.0,0.0, 01/01  06:00:00,24.0
22.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1222857142857143,2.0508571428571427,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2255108442769476,-7.804325745140551e-14,0.0,0.0,0.2438272703784666,0.0,1.3030418371606252, 01/01  01:00:00,24.0
22.0,179.32877024670242,0.0,0.0,0.0,0.0,0.0,0.0,3.111642857142857,2.0402142857142858,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25935950290462,0.0,0.0,0.0,0.22365656350206545,0.0,1.3390319049186563, 01/01  02:00:00,24.0
22.0,178.6575404934079,0.0,0.0,0.0,0.0,0.0,-0.01894203003355529,3.0990714285714285,2.027642857142857,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1894202975129705,0.0,0.9442357196791789,0.0,0.0,0.0,0.20862525051555003,0.0,0.8045822706442319, 01/01  03:00:00,24.0
21.51709314083593,177.9863107401134,0.0,0.0,0.0,0.0,0.0,0.0,3.0868571428571427,2.015428571428571,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1816668436184856,0.0,0.0,0.0,0.20273333138038815,0.0,1.256424079812192, 01/01  04:00:00,24.0
21.687747801072884,177.31508098681888,0.0,0.0,0.0,0.0,0.0,0.0,3.075214285714286,2.0037857142857143,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2125858565380033,0.0,0.0, 01/01  05:00:00,24.0
21.493041800804665,176.64385123352437,0.0,0.0,0.0,0.0,0.0,0.0,3.069928571428571,1.9985,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24155050272363118,0.0,0.0, 01/01  06:00:00,24.0
21.480120500536444,175.97262148023052,1.0218992961561733,0.0,0.0,0.0,0.0,0.0,3.067428571428571,1.996,1.0,0.0,0.36605316427820267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369750667426248,0.0,0.0,0.0, 01/01  07:00:00,24.0
20.740060250268222,175.30139172693598,0.28599327452468837,0.0,0.0,0.0,0.0,0.0,3.071642857142857,2.0002142857142857,1.0,0.393835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13016500000000003,0.2859646751979583,0.0,0.0,0.0, 01/01  08:00:00,24.0
20.0,174.63016197364146,0.0,0.0,0.0,0.0,0.0,0.0,3.126571428571429,2.055142857142857,1.0,0.405839,0.0,0.0,0.07528262829036958,0.0,1.3852918766570892,0.0,0.0,1.3852918766570892,0.0,2.0035864950525415,0.0,0.0,0.0,0.0, 01/01  09:00:00,24.0
20.0,150.07909001687227,0.07452980272541697,0.0,0.0,0.0,0.0,0.0,3.219642857142857,2.148214285714286,1.0,0.411284,0.0,0.0,0.8069275632050132,0.0,1.5591409439837542,0.0,0.0,1.559140943983754,0.0,3.6416474928112312,0.0,0.0,0.0,0.0, 01/01  10:00:00,24.0
20.28559835026822,85.06500377825178,0.8733806450137567,0.0,0.0,0.0,0.0,0.01703246701451792,3.327357142857143,2.2559285714285715,1.0,0.399042,0.0,0.0,3.299999952316284,0.05677488779236173,1.1288319768727024,0.0,0.0,0.0,1.1288319768727024,2.8943511830186512,0.0,0.0,0.0,0.0, 01/01  11:00:00,24.0
